Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
toyota,fj-cruiser,2024,31859,31590,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2024 toyota fj-cruiser with Navigation system, Rear camera. Condition: Engine repaired."
benz,s-class,2020,259267,239032,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 mercedes-benz s-class with Sunroof, Adaptive cruise control, Bluetooth. Condition: No damage."
bmw,7-series,2022,39784,279999,Sedan,6,Automatic Transmission,Gasoline,Gold, Dubai,"2022 bmw 7-series with Sunroof, Rear camera, Navigation system. Condition: Repainted bumper."
benz,e-class,2022,96792,127136,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz e-class with Navigation system, Sunroof. Condition: Repainted bumper."
bmw,3-series,2024,71984,258000,Sedan,3,Automatic Transmission,Gasoline,White,Dubai,"2024 bmw 3-series with Adaptive cruise control, Sunroof, Bluetooth. Condition: No damage."
benz,e-class,2022,141166,104141,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2022 mercedes-benz e-class with Bluetooth, Rear camera. Condition: Repainted bumper."
land-rover,range-rover-evoque,2022,133528,289232,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2022 land-rover range-rover-evoque with Adaptive cruise control, Navigation system, Rear camera, Bluetooth. Condition: Dented door."
bmw,x5,2021,638705,257531,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw x5 with Leather seats, Bluetooth, Rear camera. Condition: Engine repaired."
porsche,carrera,2024,384337,141680,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2024 porsche carrera with Bluetooth, Adaptive cruise control, Rear camera, Sunroof. Condition: Accident history."
benz,gle-coupe,2023,1346643,13472,SUV,8,Automatic Transmission,Gasoline,Other Color, Dubai,"2023 mercedes-benz gle-coupe with Sunroof, Rear camera, Adaptive cruise control. Condition: No damage."
benz,cla,2023,100716,217083,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz cla with Leather seats, Navigation system. Condition: Engine repaired."
bmw,4-series,2023,78021,46989,Coupe,4,Automatic Transmission,Gasoline,Grey, Dubai,"2023 bmw 4-series with Rear camera, Leather seats, Sunroof. Condition: Dented door."
benz,gle-coupe,2023,705081,102070,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz gle-coupe with Navigation system, Adaptive cruise control. Condition: Repainted bumper."
nissan,x-trail,2020,38819,281146,Sedan,4,Automatic Transmission,Gasoline,Burgundy, Sharjah,"2020 nissan x-trail with Bluetooth, Adaptive cruise control. Condition: No damage."
toyota,supra,2021,191347,196507,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota supra with Bluetooth, Rear camera, Navigation system. Condition: Engine repaired."
toyota,land-cruiser,2024,114075,258539,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2024 toyota land-cruiser with Sunroof, Rear camera. Condition: No damage."
land-rover,range-rover-sport,2022,152656,94551,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 land-rover range-rover-sport with Adaptive cruise control, Leather seats, Bluetooth. Condition: Accident history."
nissan,xterra,2022,103783,288578,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2022 nissan xterra with Leather seats, Navigation system. Condition: Minor scratches."
benz,cls-class,2022,51901,41399,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2022 mercedes-benz cls-class with Sunroof, Bluetooth. Condition: Engine repaired."
benz,g-class,2022,943116,150626,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz g-class with Leather seats, Rear camera, Bluetooth, Adaptive cruise control. Condition: Dented door."
toyota,rav-4,2021,88016,236695,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 toyota rav-4 with Leather seats, Navigation system, Bluetooth, Sunroof. Condition: Dented door."
land-rover,range-rover,2023,152348,136218,Wagon,8,Automatic Transmission,Gasoline,Gold, Dubai,"2023 land-rover range-rover with Sunroof, Navigation system. Condition: No damage."
nissan,sentra,2023,32423,151258,Sedan,4,Automatic Transmission,Gasoline,Red, Sharjah,"2023 nissan sentra with Rear camera, Sunroof. Condition: No damage."
benz,s-class,2022,650796,40469,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz s-class with Navigation system, Leather seats. Condition: Accident history."
bmw,7-series,2021,170159,289987,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw 7-series with Rear camera, Adaptive cruise control, Leather seats. Condition: Accident history."
benz,g-class,2022,780596,239986,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2022 mercedes-benz g-class with Adaptive cruise control, Leather seats, Bluetooth. Condition: Dented door."
ford,mustang,2022,78089,53949,Sports Car,4,Automatic Transmission,Gasoline,Black, Dubai,"2022 ford mustang with Sunroof, Navigation system, Bluetooth, Adaptive cruise control. Condition: No damage."
benz,e-class,2024,267739,153413,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 mercedes-benz e-class with Rear camera, Leather seats. Condition: Engine repaired."
benz,cls-class,2023,266395,165990,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2023 mercedes-benz cls-class with Bluetooth, Navigation system, Leather seats, Adaptive cruise control. Condition: No damage."
toyota,rav-4,2021,33264,211402,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 toyota rav-4 with Adaptive cruise control, Rear camera. Condition: Accident history."
toyota,land-cruiser,2022,405924,251644,SUV,6,Automatic Transmission,Diesel,White, Dubai,"2022 toyota land-cruiser with Navigation system, Adaptive cruise control. Condition: Dented door."
land-rover,range-rover,2021,334839,124768,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 land-rover range-rover with Adaptive cruise control, Bluetooth, Navigation system. Condition: Repainted bumper."
benz,c-class,2021,29595,41245,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 mercedes-benz c-class with Bluetooth, Sunroof, Adaptive cruise control, Leather seats. Condition: Dented door."
nissan,sunny,2022,22493,228810,Other,4,Manual Transmission,Gasoline,White, Dubai,"2022 nissan sunny with Adaptive cruise control, Navigation system, Bluetooth, Sunroof. Condition: No damage."
benz,a-class,2020,114441,188630,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2020 mercedes-benz a-class with Rear camera, Navigation system, Bluetooth, Adaptive cruise control. Condition: No damage."
nissan,x-trail,2023,48878,154048,SUV,4,Automatic Transmission,Gasoline,Black, Sharjah,"2023 nissan x-trail with Sunroof, Adaptive cruise control. Condition: Engine repaired."
ford,edge,2021,53176,49862,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2021 ford edge with Rear camera, Leather seats, Sunroof. Condition: Repainted bumper."
benz,s-class,2020,157112,16208,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz s-class with Navigation system, Bluetooth. Condition: No damage."
toyota,camry,2023,19933,35132,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 toyota camry with Navigation system, Leather seats, Sunroof. Condition: Minor scratches."
nissan,patrol,2024,332883,143340,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 nissan patrol with Sunroof, Navigation system, Rear camera. Condition: Dented door."
benz,m-class,2021,42668,150047,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2021 mercedes-benz m-class with Sunroof, Adaptive cruise control. Condition: Minor scratches."
benz,s-class,2023,38308,279681,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 mercedes-benz s-class with Navigation system, Sunroof. Condition: Dented door."
benz,e-class-coupe,2020,51974,169446,Coupe,6,Automatic Transmission,Gasoline,Blue, Sharjah,"2020 mercedes-benz e-class-coupe with Leather seats, Adaptive cruise control, Rear camera. Condition: Accident history."
nissan,patrol,2022,99738,234597,SUV,8,Automatic Transmission,Gasoline,Grey, Sharjah,"2022 nissan patrol with Navigation system, Leather seats, Bluetooth. Condition: Engine repaired."
nissan,altima,2021,43394,271717,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 nissan altima with Bluetooth, Adaptive cruise control. Condition: No damage."
porsche,carrera,2024,491954,49313,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2024 porsche carrera with Rear camera, Navigation system. Condition: Minor scratches."
nissan,xterra,2023,21335,163101,SUV,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2023 nissan xterra with Bluetooth, Sunroof, Adaptive cruise control, Rear camera. Condition: Repainted bumper."
ford,mustang,2022,73874,296164,Coupe,4,Automatic Transmission,Gasoline,Grey, Dubai,"2022 ford mustang with Rear camera, Navigation system. Condition: Repainted bumper."
benz,c-class,2024,163770,134364,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2024 mercedes-benz c-class with Adaptive cruise control, Rear camera, Navigation system. Condition: Minor scratches."
bmw,5-series,2024,96747,165295,Wagon,4,Automatic Transmission,Gasoline,Blue, Dubai,"2024 bmw 5-series with Adaptive cruise control, Bluetooth, Navigation system, Leather seats. Condition: Accident history."
toyota,hiace,2023,94986,96587,Van,6,Manual Transmission,Gasoline,White, Dubai,"2023 toyota hiace with Bluetooth, Navigation system. Condition: Accident history."
toyota,yaris,2024,45889,131280,Hatchback,4,Automatic Transmission,Gasoline,Teal, Dubai,"2024 toyota yaris with Navigation system, Leather seats. Condition: No damage."
benz,s-class,2023,74127,127587,Sedan,8,Automatic Transmission,Gasoline,Brown, Dubai,"2023 mercedes-benz s-class with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Dented door."
ford,mustang,2023,44126,195004,Sports Car,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2023 ford mustang with Adaptive cruise control, Bluetooth. Condition: Engine repaired."
toyota,land-cruiser,2020,291474,33398,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 toyota land-cruiser with Navigation system, Sunroof, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
benz,g-class,2022,1049186,222187,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz g-class with Adaptive cruise control, Sunroof, Leather seats. Condition: No damage."
bmw,1-series,2022,52861,196773,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2022 bmw 1-series with Rear camera, Adaptive cruise control. Condition: Accident history."
benz,cls-class,2020,369527,170899,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz cls-class with Sunroof, Navigation system, Leather seats, Adaptive cruise control. Condition: Engine repaired."
land-rover,defender,2024,407821,160041,SUV,4,Manual Transmission,Diesel,Green, Dubai,"2024 land-rover defender with Navigation system, Bluetooth, Leather seats. Condition: Engine repaired."
ford,fiesta,2021,24699,219828,Hatchback,4,Automatic Transmission,Gasoline,Brown, Dubai,"2021 ford fiesta with Sunroof, Bluetooth, Navigation system, Leather seats. Condition: Engine repaired."
land-rover,range-rover-sport,2024,52258,287672,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 land-rover range-rover-sport with Bluetooth, Leather seats, Adaptive cruise control, Sunroof. Condition: Minor scratches."
benz,g-class,2020,803639,37964,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2020 mercedes-benz g-class with Bluetooth, Navigation system, Sunroof. Condition: Accident history."
land-rover,defender,2024,699575,227550,SUV,6,Automatic Transmission,Gasoline,Green, Dubai,"2024 land-rover defender with Sunroof, Rear camera, Leather seats. Condition: No damage."
benz,c-class-coupe,2024,97977,155303,Coupe,4,Automatic Transmission,Gasoline,White, Sharjah,"2024 mercedes-benz c-class-coupe with Navigation system, Sunroof, Adaptive cruise control, Rear camera. Condition: No damage."
benz,amg,2020,32202,24633,Hard Top Convertible,8,Automatic Transmission,Gasoline,Gold, Dubai,"2020 mercedes-benz amg with Navigation system, Leather seats. Condition: Accident history."
benz,cls-class,2024,54829,48212,Sedan,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2024 mercedes-benz cls-class with Leather seats, Adaptive cruise control. Condition: Repainted bumper."
land-rover,range-rover,2024,170711,66486,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Rear camera, Sunroof. Condition: Repainted bumper."
benz,g-class,2022,1717188,93534,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz g-class with Leather seats, Rear camera. Condition: Minor scratches."
bmw,x7,2020,484612,29483,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2020 bmw x7 with Sunroof, Bluetooth, Leather seats. Condition: No damage."
benz,cls-class,2022,42427,237153,Sedan,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2022 mercedes-benz cls-class with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Dented door."
benz,g-class,2022,1201576,282497,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz g-class with Bluetooth, Leather seats. Condition: Minor scratches."
nissan,armada,2020,36197,16510,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 nissan armada with Bluetooth, Sunroof, Adaptive cruise control, Leather seats. Condition: Minor scratches."
nissan,maxima,2023,82055,223830,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2023 nissan maxima with Adaptive cruise control, Rear camera, Sunroof, Leather seats. Condition: No damage."
nissan,altima,2021,20650,222056,Sedan,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2021 nissan altima with Leather seats, Navigation system, Adaptive cruise control. Condition: No damage."
benz,a-class,2021,161679,80277,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz a-class with Rear camera, Bluetooth, Adaptive cruise control, Leather seats. Condition: Dented door."
bmw,3-series,2020,36499,182527,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2020 bmw 3-series with Rear camera, Navigation system, Bluetooth, Adaptive cruise control. Condition: Minor scratches."
nissan,sentra,2024,39591,63273,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2024 nissan sentra with Adaptive cruise control, Rear camera, Navigation system. Condition: Repainted bumper."
nissan,patrol,2023,101117,230367,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 nissan patrol with Rear camera, Navigation system, Leather seats, Adaptive cruise control. Condition: Accident history."
bmw,7-series,2023,69743,264514,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2023 bmw 7-series with Navigation system, Rear camera, Bluetooth. Condition: Minor scratches."
toyota,avanza,2021,26829,185218,SUV,4,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2021 toyota avanza with Bluetooth, Adaptive cruise control, Leather seats. Condition: Repainted bumper."
nissan,maxima,2020,84563,110797,Sedan,6,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2020 nissan maxima with Rear camera, Navigation system. Condition: Minor scratches."
nissan,van,2023,41837,176420,Van,4,Manual Transmission,Gasoline,White, Sharjah,"2023 nissan van with Rear camera, Bluetooth, Navigation system. Condition: No damage."
nissan,x-trail,2021,92203,266480,SUV,4,Automatic Transmission,Gasoline,Orange, Dubai,"2021 nissan x-trail with Sunroof, Rear camera, Adaptive cruise control, Bluetooth. Condition: No damage."
toyota,fortuner,2021,158443,252397,SUV,4,Automatic Transmission,Diesel,White, Dubai,"2021 toyota fortuner with Adaptive cruise control, Sunroof, Navigation system. Condition: No damage."
benz,gle-coupe,2022,552184,148806,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz gle-coupe with Sunroof, Rear camera, Bluetooth, Adaptive cruise control. Condition: Dented door."
ford,figo,2023,16652,298628,Hatchback,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2023 ford figo with Leather seats, Navigation system, Bluetooth, Sunroof. Condition: No damage."
nissan,patrol,2022,116533,216574,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2022 nissan patrol with Bluetooth, Sunroof, Rear camera. Condition: Minor scratches."
nissan,tiida,2022,15988,103932,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2022 nissan tiida with Adaptive cruise control, Sunroof, Rear camera, Navigation system. Condition: Dented door."
nissan,patrol,2023,189787,276460,SUV,6,Manual Transmission,Gasoline,Gold, Dubai,"2023 nissan patrol with Sunroof, Rear camera, Navigation system. Condition: Repainted bumper."
nissan,x-trail,2023,54428,129355,SUV,4,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2023 nissan x-trail with Navigation system, Adaptive cruise control. Condition: No damage."
benz,e-class,2021,185110,295641,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz e-class with Rear camera, Leather seats, Navigation system. Condition: No damage."
nissan,patrol,2020,57922,42564,SUV,6,Automatic Transmission,Gasoline,Gold, Sharjah,"2020 nissan patrol with Bluetooth, Sunroof. Condition: Dented door."
nissan,pickup,2021,44461,148185,SUV,4,Manual Transmission,Gasoline,White, Sharjah,"2021 nissan pickup with Adaptive cruise control, Sunroof, Bluetooth. Condition: Repainted bumper."
toyota,prado,2020,117540,257460,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 toyota prado with Rear camera, Sunroof. Condition: Accident history."
bmw,5-series,2024,158711,157527,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2024 bmw 5-series with Rear camera, Sunroof, Bluetooth, Leather seats. Condition: Engine repaired."
nissan,x-trail,2021,34574,19000,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan x-trail with Bluetooth, Sunroof, Rear camera. Condition: No damage."
toyota,land-cruiser,2021,198890,127302,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota land-cruiser with Bluetooth, Adaptive cruise control. Condition: Dented door."
benz,viano,2024,310102,220782,Van,4,Automatic Transmission,Gasoline,Silver, Dubai,"2024 mercedes-benz viano with Navigation system, Rear camera. Condition: No damage."
ford,explorer,2023,58003,78624,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2023 ford explorer with Navigation system, Sunroof, Adaptive cruise control. Condition: Repainted bumper."
toyota,hilux,2023,33319,233379,SUV,4,Manual Transmission,Diesel,White, Sharjah,"2023 toyota hilux with Navigation system, Adaptive cruise control. Condition: Dented door."
benz,g-class,2024,1574901,183143,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz g-class with Navigation system, Leather seats. Condition: No damage."
benz,amg-gt-4-doors,2020,483720,208115,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2020 mercedes-benz amg-gt-4-doors with Adaptive cruise control, Leather seats, Sunroof, Navigation system. Condition: Engine repaired."
nissan,xterra,2020,117017,245452,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2020 nissan xterra with Navigation system, Adaptive cruise control, Bluetooth. Condition: Accident history."
porsche,panamera,2021,320734,279406,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 porsche panamera with Navigation system, Leather seats. Condition: Engine repaired."
land-rover,range-rover-sport,2020,56692,63085,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover-sport with Sunroof, Bluetooth, Leather seats. Condition: Minor scratches."
toyota,avanza,2021,43030,247364,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota avanza with Bluetooth, Rear camera. Condition: Accident history."
nissan,tiida,2021,28351,134334,Hatchback,4,Automatic Transmission,Gasoline,Silver, Dubai,"2021 nissan tiida with Sunroof, Rear camera. Condition: Accident history."
bmw,m3,2022,525876,264490,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 bmw m3 with Leather seats, Navigation system, Adaptive cruise control, Sunroof. Condition: Engine repaired."
nissan,patrol,2023,126952,106383,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 nissan patrol with Rear camera, Navigation system, Adaptive cruise control. Condition: Accident history."
ford,focus,2021,21493,243415,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2021 ford focus with Bluetooth, Rear camera, Sunroof. Condition: Repainted bumper."
nissan,altima,2022,67391,280344,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2022 nissan altima with Navigation system, Sunroof, Rear camera. Condition: Repainted bumper."
toyota,yaris,2024,27484,227986,Sedan,4,Automatic Transmission,Gasoline,Silver, Sharjah,"2024 toyota yaris with Leather seats, Bluetooth, Sunroof. Condition: Engine repaired."
benz,g-class,2024,1363991,267112,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz g-class with Navigation system, Leather seats, Sunroof, Rear camera. Condition: Accident history."
nissan,murano,2024,16138,19008,Crossover,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 nissan murano with Leather seats, Rear camera. Condition: Repainted bumper."
nissan,pathfinder,2021,30567,276825,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan pathfinder with Sunroof, Rear camera, Leather seats, Navigation system. Condition: Accident history."
toyota,hilux,2024,35915,297363,Pick Up Truck,4,Manual Transmission,Gasoline,White,Abu Dhabi,"2024 toyota hilux with Navigation system, Adaptive cruise control. Condition: Minor scratches."
porsche,panamera,2024,83946,217217,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2024 porsche panamera with Bluetooth, Navigation system. Condition: Minor scratches."
ford,focus,2020,37064,18742,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2020 ford focus with Bluetooth, Navigation system, Leather seats. Condition: Repainted bumper."
ford,mustang,2024,85428,273097,Sports Car,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 ford mustang with Adaptive cruise control, Navigation system, Leather seats. Condition: Repainted bumper."
nissan,maxima,2021,82244,104278,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan maxima with Navigation system, Leather seats, Sunroof. Condition: No damage."
porsche,panamera,2023,539134,100931,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2023 porsche panamera with Sunroof, Bluetooth, Leather seats. Condition: Accident history."
bmw,7-series,2021,53570,76938,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw 7-series with Leather seats, Sunroof, Adaptive cruise control, Navigation system. Condition: Engine repaired."
benz,s-class,2022,30177,200644,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2022 mercedes-benz s-class with Rear camera, Sunroof, Adaptive cruise control. Condition: Dented door."
toyota,corolla,2021,86723,215668,Sedan,4,Automatic Transmission,Hybrid,Blue, Dubai,"2021 toyota corolla with Bluetooth, Rear camera. Condition: Engine repaired."
benz,c-class,2024,205117,27651,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz c-class with Rear camera, Navigation system. Condition: Minor scratches."
toyota,land-cruiser,2024,179734,162889,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 toyota land-cruiser with Navigation system, Bluetooth. Condition: Repainted bumper."
porsche,panamera,2022,78419,223320,Sedan,8,Automatic Transmission,Gasoline,White, Sharjah,"2022 porsche panamera with Navigation system, Sunroof, Bluetooth. Condition: No damage."
benz,cls-class,2023,230613,28915,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2023 mercedes-benz cls-class with Adaptive cruise control, Sunroof, Bluetooth. Condition: Minor scratches."
benz,cls-class,2023,21251,155226,Sedan,6,Automatic Transmission,Gasoline,Red, Dubai,"2023 mercedes-benz cls-class with Sunroof, Bluetooth, Rear camera. Condition: No damage."
bmw,3-series,2023,73927,97800,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 bmw 3-series with Bluetooth, Rear camera, Leather seats, Adaptive cruise control. Condition: Repainted bumper."
benz,e-class,2021,205110,213827,Sedan,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2021 mercedes-benz e-class with Bluetooth, Navigation system, Adaptive cruise control. Condition: Engine repaired."
nissan,patrol,2021,143403,36279,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan patrol with Adaptive cruise control, Leather seats. Condition: Repainted bumper."
bmw,7-series,2021,71761,271919,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2021 bmw 7-series with Navigation system, Rear camera, Leather seats. Condition: Dented door."
nissan,patrol,2022,235795,15719,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2022 nissan patrol with Rear camera, Leather seats, Sunroof. Condition: Repainted bumper."
nissan,maxima,2024,57794,22771,Sedan,6,Automatic Transmission,Gasoline,Black, Sharjah,"2024 nissan maxima with Rear camera, Leather seats, Bluetooth, Sunroof. Condition: Dented door."
benz,cla,2024,86642,12691,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 mercedes-benz cla with Bluetooth, Rear camera, Leather seats, Navigation system. Condition: Repainted bumper."
benz,s-class,2023,155874,118582,Sedan,8,Automatic Transmission,Gasoline,Other Color, Dubai,"2023 mercedes-benz s-class with Navigation system, Bluetooth, Sunroof. Condition: Minor scratches."
toyota,rav-4,2021,42395,152964,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 toyota rav-4 with Adaptive cruise control, Rear camera, Sunroof. Condition: Dented door."
benz,s-class,2023,50431,226548,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai,"2023 mercedes-benz s-class with Adaptive cruise control, Navigation system, Leather seats. Condition: Repainted bumper."
benz,gle-class,2020,299963,114592,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz gle-class with Leather seats, Navigation system. Condition: No damage."
benz,slk-class,2023,95388,47872,Hard Top Convertible,6,Automatic Transmission,Gasoline,Grey, Dubai,"2023 mercedes-benz slk-class with Leather seats, Rear camera. Condition: Accident history."
bmw,x3,2021,226614,31731,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2021 bmw x3 with Bluetooth, Rear camera. Condition: Accident history."
porsche,cayman,2024,129954,238653,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 porsche cayman with Navigation system, Leather seats, Sunroof, Rear camera. Condition: Engine repaired."
benz,gls-class,2022,378198,252515,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz gls-class with Bluetooth, Adaptive cruise control, Leather seats, Navigation system. Condition: Repainted bumper."
benz,s-class-coupe,2020,232518,202086,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz s-class-coupe with Navigation system, Leather seats, Adaptive cruise control, Rear camera. Condition: Dented door."
ford,edge,2023,22406,62692,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2023 ford edge with Sunroof, Leather seats, Bluetooth. Condition: Repainted bumper."
land-rover,range-rover,2024,376719,125512,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 land-rover range-rover with Rear camera, Sunroof, Leather seats, Bluetooth. Condition: Engine repaired."
toyota,land-cruiser,2021,62524,239252,Pick Up Truck,6,Manual Transmission,Gasoline,Tan,Abu Dhabi,"2021 toyota land-cruiser with Leather seats, Adaptive cruise control, Sunroof. Condition: Minor scratches."
bmw,7-series,2023,43307,227566,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2023 bmw 7-series with Sunroof, Navigation system, Adaptive cruise control. Condition: No damage."
nissan,maxima,2023,83467,140817,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 nissan maxima with Adaptive cruise control, Rear camera. Condition: Minor scratches."
land-rover,range-rover,2024,163360,260450,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Adaptive cruise control, Rear camera. Condition: Minor scratches."
toyota,corolla,2023,49336,272479,Sedan,4,Automatic Transmission,Gasoline,White,Sharjah,"2023 toyota corolla with Bluetooth, Sunroof. Condition: No damage."
porsche,cayenne,2024,82556,19779,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 porsche cayenne with Navigation system, Adaptive cruise control. Condition: Minor scratches."
